,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,美,国,邮,局,,,,,,,,,,
3,洛,杉,矶,市,中,心,分,局,,,,,,
7,大,都,会,区,间,公,车,,,,,,,
11,全,美,最,大,零,废,气,车,队,,,,,
15,倒,数,五,秒,,,,,,,,,,
16,等,这,个,人,过,去,,,,,,,,
20,现,在,安,全,了,,,,,,,,,
21,不,行,,,,,,,,,,,,
25,行,动,,,,,,,,,,,,
26,不,行,,,,,,,,,,,,
30,现,在,,,,,,,,,,,,
34,可,能,是,现,金,,,,,,,,,
38,不,是,是,汇,票,,,,,,,,,
42,二,十,元,,,,,,,,,,,
46,这,个,我,记,得,,,,,,,,,
50,我,有,一,张,能,派,上,用,场,的,收,据,,
54,达,吉,特,的,玩,具,店,,,,,,,
55,十,三,元,退,款,容,易,,,,,,,
59,这,领,带,不,便,宜,,,,,,,,
63,你,不,是,出,身,名,门,所,以,看,不,出,来,
67,那,是,空,的,,,,,,,,,,
71,奥,西,亚,与,维,克,多,杨,恩,,,,,
75,拉,德,拉,高,地,费,格,伦,路,号,,,,
79,搭,二,号,公,车,能,到,,,,,,,
83,中,途,不,必,转,车,,,,,,,,
87,我,们,还,有,时,间,,,,,,,,
91,穿,上,教,会,女,校,的,制,服,,,,,
95,因,为,你,要,触,动,别,人,的,内,心,,,
99,记,住,别,要,求,回,报,,,,,,,
103,让,他,们,自,动,送,上,门,,,,,,
107,手,表,带,了,吧,,,,,,,,,
111,有,,,,,,,,,,,,,
115,你,看,看,,,,,,,,,,,
119,就,掉,在,那,里,我,差,点,踩,到,,,,
123,原,来,一,直,掉,在,那,里,,,,,,
127,你,是,念,圣,心,吗,,,,,,,,
131,我,女,儿,珍,妮,也,念,过,圣,心,,,,
135,进,来,喝,杯,可,乐,吧,,,,,,,
139,我,就,知,道,天,使,会,保,佑,,,,,
143,我,才,不,信,这,套,,,,,,,,
147,这,是,什,么,,,,,,,,,,
151,礼,券,,,,,,,,,,,,
155,他,们,的,女,儿,是,按,摩,师,,,,,
159,不,要,求,回,报,是,理,想,情,况,,,,
163,行,不,通,就,该,要,求,回,报,,,,,
167,有,些,有,钱,人,很,小,气,,,,,,
171,他,们,一,直,在,说,女,儿,的,事,,,,
175,她,在,梅,莉,丝,上,班,,,,,,,
176,上,过,大,学,,,,,,,,,,
180,梅,莉,丝,,,,,,,,,,,
184,超,可,怕,的,父,母,,,,,,,,
188,那,是,洛,杉,矶,最,贵,的,餐,厅,,,,
192,她,只,是,在,那,里,工,作,,,,,,
196,在,那,里,工,作,的,也,要,是,有,钱,人,,
200,我,是,说,,,,,,,,,,,
201,等,等,,,,,,,,,,,,
205,费,格,伦,路,号,之,二,,,,,,,
209,就,在,刚,刚,那,附,近,,,,,,,
213,就,在,那,栋,房,子,正,后,方,,,,,
217,这,可,以,换,钱,,,,,,,,,
218,对,,,,,,,,,,,,,
222,你,看,金,钱,符,号,,,,,,,,
226,这,种,高,级,的,,,,,,,,,
230,你,懂,吗,,,,,,,,,,,
231,很,好,,,,,,,,,,,,
235,这,值,两,三,百,元,,,,,,,,
236,对,,,,,,,,,,,,,
240,好,,,,,,,,,,,,,
244,等,等,,,,,,,,,,,,
248,现,金,退,款,,,,,,,,,,
252,不,然,我,打,个,折,吧,,,,,,,
256,只,要,价,值,的,七,成,五,就,好,,,,
260,不,行,不,能,这,样,退,,,,,,,
264,抱,歉,你,怎,么,会,认,识,我,爸,妈,,,
268,那,换,东,西,呢,,,,,,,,,
272,换,那,颗,石,头,,,,,,,,,
276,不,行,,,,,,,,,,,,
277,好,吧,那,这,些,呢,,,,,,,,
281,不,行,了,解,,,,,,,,,,
285,这,个,架,子,,,,,,,,,,
289,没,得,再,让,步,了,,,,,,,,
293,因,为,它,的,价,值,不,高,,,,,,
297,我,要,承,担,损,失,,,,,,,,
301,没,按,摩,的,损,失,,,,,,,,
305,我,要,拿,走,礼,券,,,,,,,,
309,你,不,想,要,按,摩,对,吧,,,,,,
