Source Target Weight
奥 女儿 10
奥 谢谢 12
奥 妈妈 4
奥 欧多利欧 13
奥 宝贝 4
杨恩 女儿 10
杨恩 谢谢 12
杨恩 妈妈 4
杨恩 欧多利欧 13
杨恩 宝贝 4
费格伦 女儿 20
费格伦 梅莉丝 6
费格伦 谢谢 24
费格伦 凯莉 4
费格伦 芬恩 4
费格伦 妈妈 8
费格伦 谢谢您 4
费格伦 史托维克 4
费格伦 艾米许 6
费格伦 古董 6
费格伦 梅兰妮 6
费格伦 欧多利欧 26
费格伦 宝贝 8
费格伦 儿子 4
费格伦 罗伯特 4
费格伦 小塞 6
费格伦 安静 6
费格伦 寇黑塔 4
女儿 奥 10
女儿 杨恩 10
女儿 费格伦 20
女儿 梅莉丝 30
女儿 维 10
女儿 道奇 10
女儿 谢谢 120
女儿 凯莉 20
女儿 芬恩 20
女儿 妈妈 40
女儿 张开嘴 10
女儿 谢谢您 20
女儿 史托维克 20
女儿 特蕾莎 10
女儿 马上会 10
女儿 胡闹 10
女儿 安全带 10
女儿 平顺 10
女儿 赛奈 10
女儿 陆军 10
女儿 阿姨 10
女儿 艾米许 30
女儿 祖母 10
女儿 通耶 10
女儿 古董 30
女儿 耶 10
女儿 梅兰妮 30
女儿 欧多利欧 130
女儿 祖先 10
女儿 文明 10
女儿 宝贝 40
女儿 美的 10
女儿 时髦 10
女儿 滑进来 10
女儿 付元 10
女儿 阿贝 10
女儿 儿子 20
女儿 罗伯特 20
女儿 车库里 10
女儿 塞勒斯 10
女儿 小塞 30
女儿 言语 10
女儿 老二 10
女儿 太久 10
女儿 安静 30
女儿 真是太 10
女儿 寇黑塔 20
女儿 那本书 10
女儿 罗 10
女儿 祝福 10
梅莉丝 费格伦 6
梅莉丝 女儿 30
梅莉丝 谢谢 36
梅莉丝 凯莉 6
梅莉丝 芬恩 6
梅莉丝 妈妈 12
梅莉丝 谢谢您 6
梅莉丝 史托维克 6
梅莉丝 艾米许 9
梅莉丝 古董 9
梅莉丝 梅兰妮 9
梅莉丝 欧多利欧 39
梅莉丝 宝贝 12
梅莉丝 儿子 6
梅莉丝 罗伯特 6
梅莉丝 小塞 9
梅莉丝 安静 9
梅莉丝 寇黑塔 6
维 女儿 10
维 谢谢 12
维 妈妈 4
维 欧多利欧 13
维 宝贝 4
道奇 女儿 10
道奇 谢谢 12
道奇 妈妈 4
道奇 欧多利欧 13
道奇 宝贝 4
谢谢 奥 12
谢谢 杨恩 12
谢谢 费格伦 24
谢谢 女儿 120
谢谢 梅莉丝 36
谢谢 维 12
谢谢 道奇 12
谢谢 凯莉 24
谢谢 芬恩 24
谢谢 妈妈 48
谢谢 张开嘴 12
谢谢 谢谢您 24
谢谢 史托维克 24
谢谢 特蕾莎 12
谢谢 马上会 12
谢谢 胡闹 12
谢谢 安全带 12
谢谢 平顺 12
谢谢 赛奈 12
谢谢 陆军 12
谢谢 阿姨 12
谢谢 艾米许 36
谢谢 祖母 12
谢谢 通耶 12
谢谢 古董 36
谢谢 耶 12
谢谢 梅兰妮 36
谢谢 欧多利欧 156
谢谢 祖先 12
谢谢 文明 12
谢谢 宝贝 48
谢谢 美的 12
谢谢 时髦 12
谢谢 滑进来 12
谢谢 付元 12
谢谢 阿贝 12
谢谢 儿子 24
谢谢 罗伯特 24
谢谢 车库里 12
谢谢 塞勒斯 12
谢谢 小塞 36
谢谢 言语 12
谢谢 老二 12
谢谢 太久 12
谢谢 安静 36
谢谢 真是太 12
谢谢 寇黑塔 24
谢谢 那本书 12
谢谢 罗 12
谢谢 祝福 12
凯莉 费格伦 4
凯莉 女儿 20
凯莉 梅莉丝 6
凯莉 谢谢 24
凯莉 芬恩 4
凯莉 妈妈 8
凯莉 谢谢您 4
凯莉 史托维克 4
凯莉 艾米许 6
凯莉 古董 6
凯莉 梅兰妮 6
凯莉 欧多利欧 26
凯莉 宝贝 8
凯莉 儿子 4
凯莉 罗伯特 4
凯莉 小塞 6
凯莉 安静 6
凯莉 寇黑塔 4
芬恩 费格伦 4
芬恩 女儿 20
芬恩 梅莉丝 6
芬恩 谢谢 24
芬恩 凯莉 4
芬恩 妈妈 8
芬恩 谢谢您 4
芬恩 史托维克 4
芬恩 艾米许 6
芬恩 古董 6
芬恩 梅兰妮 6
芬恩 欧多利欧 26
芬恩 宝贝 8
芬恩 儿子 4
芬恩 罗伯特 4
芬恩 小塞 6
芬恩 安静 6
芬恩 寇黑塔 4
妈妈 奥 4
妈妈 杨恩 4
妈妈 费格伦 8
妈妈 女儿 40
妈妈 梅莉丝 12
妈妈 维 4
妈妈 道奇 4
妈妈 谢谢 48
妈妈 凯莉 8
妈妈 芬恩 8
妈妈 张开嘴 4
妈妈 谢谢您 8
妈妈 史托维克 8
妈妈 特蕾莎 4
妈妈 马上会 4
妈妈 胡闹 4
妈妈 安全带 4
妈妈 平顺 4
妈妈 赛奈 4
妈妈 陆军 4
妈妈 阿姨 4
妈妈 艾米许 12
妈妈 祖母 4
妈妈 通耶 4
妈妈 古董 12
妈妈 耶 4
妈妈 梅兰妮 12
妈妈 欧多利欧 52
妈妈 祖先 4
妈妈 文明 4
妈妈 宝贝 16
妈妈 美的 4
妈妈 时髦 4
妈妈 滑进来 4
妈妈 付元 4
妈妈 阿贝 4
妈妈 儿子 8
妈妈 罗伯特 8
妈妈 车库里 4
妈妈 塞勒斯 4
妈妈 小塞 12
妈妈 言语 4
妈妈 老二 4
妈妈 太久 4
妈妈 安静 12
妈妈 真是太 4
妈妈 寇黑塔 8
妈妈 那本书 4
妈妈 罗 4
妈妈 祝福 4
张开嘴 女儿 10
张开嘴 谢谢 12
张开嘴 妈妈 4
张开嘴 欧多利欧 13
张开嘴 宝贝 4
谢谢您 费格伦 4
谢谢您 女儿 20
谢谢您 梅莉丝 6
谢谢您 谢谢 24
谢谢您 凯莉 4
谢谢您 芬恩 4
谢谢您 妈妈 8
谢谢您 史托维克 4
谢谢您 艾米许 6
谢谢您 古董 6
谢谢您 梅兰妮 6
谢谢您 欧多利欧 26
谢谢您 宝贝 8
谢谢您 儿子 4
谢谢您 罗伯特 4
谢谢您 小塞 6
谢谢您 安静 6
谢谢您 寇黑塔 4
史托维克 费格伦 4
史托维克 女儿 20
史托维克 梅莉丝 6
史托维克 谢谢 24
史托维克 凯莉 4
史托维克 芬恩 4
史托维克 妈妈 8
史托维克 谢谢您 4
史托维克 艾米许 6
史托维克 古董 6
史托维克 梅兰妮 6
史托维克 欧多利欧 26
史托维克 宝贝 8
史托维克 儿子 4
史托维克 罗伯特 4
史托维克 小塞 6
史托维克 安静 6
史托维克 寇黑塔 4
特蕾莎 女儿 10
特蕾莎 谢谢 12
特蕾莎 妈妈 4
特蕾莎 欧多利欧 13
特蕾莎 宝贝 4
马上会 女儿 10
马上会 谢谢 12
马上会 妈妈 4
马上会 欧多利欧 13
马上会 宝贝 4
胡闹 女儿 10
胡闹 谢谢 12
胡闹 妈妈 4
胡闹 欧多利欧 13
胡闹 宝贝 4
安全带 女儿 10
安全带 谢谢 12
安全带 妈妈 4
安全带 欧多利欧 13
安全带 宝贝 4
平顺 女儿 10
平顺 谢谢 12
平顺 妈妈 4
平顺 欧多利欧 13
平顺 宝贝 4
赛奈 女儿 10
赛奈 谢谢 12
赛奈 妈妈 4
赛奈 欧多利欧 13
赛奈 宝贝 4
陆军 女儿 10
陆军 谢谢 12
陆军 妈妈 4
陆军 欧多利欧 13
陆军 宝贝 4
阿姨 女儿 10
阿姨 谢谢 12
阿姨 妈妈 4
阿姨 欧多利欧 13
阿姨 宝贝 4
艾米许 费格伦 6
艾米许 女儿 30
艾米许 梅莉丝 9
艾米许 谢谢 36
艾米许 凯莉 6
艾米许 芬恩 6
艾米许 妈妈 12
艾米许 谢谢您 6
艾米许 史托维克 6
艾米许 古董 9
艾米许 梅兰妮 9
艾米许 欧多利欧 39
艾米许 宝贝 12
艾米许 儿子 6
艾米许 罗伯特 6
艾米许 小塞 9
艾米许 安静 9
艾米许 寇黑塔 6
祖母 女儿 10
祖母 谢谢 12
祖母 妈妈 4
祖母 欧多利欧 13
祖母 宝贝 4
通耶 女儿 10
通耶 谢谢 12
通耶 妈妈 4
通耶 欧多利欧 13
通耶 宝贝 4
古董 费格伦 6
古董 女儿 30
古董 梅莉丝 9
古董 谢谢 36
古董 凯莉 6
古董 芬恩 6
古董 妈妈 12
古董 谢谢您 6
古董 史托维克 6
古董 艾米许 9
古董 梅兰妮 9
古董 欧多利欧 39
古董 宝贝 12
古董 儿子 6
古董 罗伯特 6
古董 小塞 9
古董 安静 9
古董 寇黑塔 6
耶 女儿 10
耶 谢谢 12
耶 妈妈 4
耶 欧多利欧 13
耶 宝贝 4
梅兰妮 费格伦 6
梅兰妮 女儿 30
梅兰妮 梅莉丝 9
梅兰妮 谢谢 36
梅兰妮 凯莉 6
梅兰妮 芬恩 6
梅兰妮 妈妈 12
梅兰妮 谢谢您 6
梅兰妮 史托维克 6
梅兰妮 艾米许 9
梅兰妮 古董 9
梅兰妮 欧多利欧 39
梅兰妮 宝贝 12
梅兰妮 儿子 6
梅兰妮 罗伯特 6
梅兰妮 小塞 9
梅兰妮 安静 9
梅兰妮 寇黑塔 6
欧多利欧 奥 13
欧多利欧 杨恩 13
欧多利欧 费格伦 26
欧多利欧 女儿 130
欧多利欧 梅莉丝 39
欧多利欧 维 13
欧多利欧 道奇 13
欧多利欧 谢谢 156
欧多利欧 凯莉 26
欧多利欧 芬恩 26
欧多利欧 妈妈 52
欧多利欧 张开嘴 13
欧多利欧 谢谢您 26
欧多利欧 史托维克 26
欧多利欧 特蕾莎 13
欧多利欧 马上会 13
欧多利欧 胡闹 13
欧多利欧 安全带 13
欧多利欧 平顺 13
欧多利欧 赛奈 13
欧多利欧 陆军 13
欧多利欧 阿姨 13
