,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2,出,品,,,,,,,,,,,,,,
1,6,看,看,你,,,,,,,,,,,,,
2,10,坐,在,那,儿,,,,,,,,,,,,
3,14,觉,得,自,己,是,个,好,人,,,,,,,,
4,18,你,才,不,是,好,人,,,,,,,,,,
5,22,相,信,我,,,,,,,,,,,,,
6,26,现,实,中,就,没,有,好,人,,,,,,,,
7,30,我,以,前,也,像,你,一,样,,,,,,,,
8,34,认,为,努,力,工,作,和,公,平,竞,争,,,,,
9,38,就,会,带,来,成,功,和,幸,福,,,,,,,
10,42,不,会,的,,,,,,,,,,,,,
11,46,公,平,竞,争,就,是,个,笑,话,,,,,,,
12,50,是,有,钱,人,发,明,的,,,,,,,,,
13,51,好,让,我,们,这,些,穷,人,永,远,无,法,翻,身,,
14,55,而,我,一,直,很,穷,人,,,,,,,,,
15,59,这,招,可,骗,不,了,我,,,,,,,,,
16,63,因,为,这,个,世,界,上,只,存,在,两,种,人,,,
17,67,剥,削,别,人,的,人,,,,,,,,,,
18,71,和,被,剥,削,的,人,,,,,,,,,,
19,75,捕,食,者,和,猎,物,,,,,,,,,,
20,79,狮,子,和,绵,羊,,,,,,,,,,,
21,83,我,的,名,字,叫,玛,拉,葛,蕾,森,,,,,,
22,84,我,可,不,是,一,只,小,绵,羊,,,,,,,
23,88,我,是,一,头,母,狮,,,,,,,,,,
24,92,她,是,我,母,亲,,,,,,,,,,,
25,93,我,应,该,有,权,利,随,时,去,看,望,她,,,,
26,97,她,不,需,要,呆,在,疗,养,院,,,,,,,
27,101,她,不,需,要,法,院,指,派,的,监,护,人,,,,
28,105,她,有,一,个,好,儿,子,来,照,顾,她,,,,,
29,109,我,就,是,不,理,解,法,院,怎,么,可,以,,,,
30,110,把,我,母,亲,托,付,给,外,人,,,,,,,
31,114,葛,蕾,森,女,士,在,我,妈,妈,清,楚,表,达,了,,
32,115,拒,绝,的,意,愿,后,,,,,,,,,,
33,119,仍,然,强,制,她,进,入,疗,养,院,,,,,,
34,123,现,在,她,又,拍,卖,了,我,母,亲,的,房,子,,,
35,127,她,的,汽,车,她,的,私,人,物,品,,,,,,
36,131,然,后,她,用,这,笔,收,益,供,自,己,花,销,,,
37,135,现,在,葛,蕾,森,小,姐,完,全,禁,止,我,,,,
38,136,看,望,我,母,亲,,,,,,,,,,,
39,140,这,就,是,一,场,噩,梦,她,绑,架,了,我,母,亲,,
40,144,先,生,请,你,保,持,冷,静,,,,,,,,
41,148,玛,拉,葛,蕾,森,是,一,位,,,,,,,,
42,149,受,人,尊,敬,的,专,业,监,护,人,,,,,,
43,153,并,且,鉴,于,你,的,母,亲,不,能,自,理,,,,
44,157,她,由,本,法,庭,以,及,我,本,人,亲,自,任,命,,
45,161,在,最,大,程,度,上,维,护,你,母,亲,的,利,益,,
46,165,禁,止,儿,子,的,探,访,是,怎,么,,,,,,
47,166,在,最,大,程,度,上,维,护,我,母,亲,的,利,益,的,
48,170,葛,蕾,森,女,士,根,本,不,关,心,我,的,母,亲,,
49,174,对,不,起,法,官,大,人,我,能,发,言,吗,,,,
50,178,请,讲,葛,蕾,森,女,士,,,,,,,,,
51,182,费,尔,德,斯,托,姆,男,士,先,生,,,,,,
52,186,我,很,同,情,你,,,,,,,,,,,
53,190,但,是,法,庭,不,会,无,缘,无,故,委,托,我,的,,
54,194,你,的,母,亲,生,活,不,能,自,理,,,,,,
55,195,这,不,是,真,的,,,,,,,,,,,
56,199,医,生,已,经,诊,断,她,患,有,老,年,痴,呆,,,
57,200,费,尔,德,斯,托,姆,先,生,并,且,提,供,了,,,
58,204,建,议,立,刻,采,取,措,施,,,,,,,,
59,205,来,保,障,她,安,全,的,证,词,,,,,,,
60,209,你,本,来,有,足,够,的,时,间,,,,,,,
61,213,送,她,去,疗,养,院,或,者,带,她,去,你,家,,,
62,217,你,哪,个,都,没,有,做,,,,,,,,,
63,221,她,不,想,离,开,自,己,的,家,好,吗,,,,,
64,222,她,求,我,不,要,,,,,,,,,,,
65,226,你,不,能,按,照,她,的,意,愿,来,照,顾,她,,,
66,230,你,必,须,按,照,她,的,需,要,来,照,顾,,,,
67,234,这,就,是,为,什,么,我,比,她,的,家,人,,,,
68,235,更,适,合,照,料,她,,,,,,,,,,
69,239,因,为,我,不,会,牵,扯,个,人,利,益,进,来,,,
70,243,我,只,会,为,你,妈,妈,做,对,她,正,确,的,事,,
71,247,所,以,我,承,认,我,管,理,着,你,母,亲,的,财,产,
72,248,因,为,必,须,有,人,打,理,,,,,,,,
